time,Rome,Berlin,London,Paris,Madrid,Athens,Oslo
2014-01-01 12:00:00,0.5796512048641659,0.2161416051858054,0.004668926367597395,0.03282074881000985,0.05763039738938531,0.06412083969005829,0.014819212488307101
2014-01-02 12:00:00,0.2588215884767355,0.08599670313025785,0.4292600443072696,0.38100942379706426,0.023104495478117677,0.26494497830664737,0.0009245924998554984
2014-01-03 12:00:00,0.41659312475425814,0.31763086053175005,0.24150492286513536,0.3093950597768978,0.023635546204532863,0.4895431517502403,0.004678787071174132
2014-01-04 12:00:00,0.06420566331665313,0.20950304552344964,0.012583255918928175,0.11530500230728241,0.07755627696793022,0.48816579598709575,0.014933880554058624
2014-01-05 12:00:00,0.12721787168120532,0.06620429785946172,0.11438990731660519,0.24789530129014084,0.4327630518449895,0.5882915169373751,0.04701019705761537
2014-01-06 12:00:00,0.6087986049609532,0.10518970858373795,0.21067853537195713,0.3483759253223396,0.23920286757061693,0.12238977810718113,0.0015879410957123964
2014-01-07 12:00:00,0.5538221477317681,0.4096932716214629,0.23701782285102857,0.17309005262590976,0.23520292563848635,0.06157880841987469,0.01191211361717438
2014-01-08 12:00:00,0.5464210952455502,0.15696842690581417,0.23262599514459728,0.1558257692632016,0.5181429604459188,0.33499114618957,0.009948829800802191
2014-01-09 12:00:00,0.41231675572871357,0.17878482277797722,0.17194413268667383,0.0540996650899202,0.4039666929953335,0.6115765477524859,0.02030268246334172
2014-01-10 12:00:00,0.1975594764663855,0.20762848143114418,0.3301618044171516,0.10553678542800199,0.4284386773763395,0.62213951376247,0.10413702130848845
2014-01-11 12:00:00,0.379690488152145,0.33998926348764213,0.4561451685476918,0.493905322090325,0.33677398839632156,0.6244078399963172,0.014755072105248382
2014-01-12 12:00:00,0.27546380681183735,0.2824176150872849,0.07821424953616495,0.08284627818139466,0.31406276678746275,0.4964818379541941,0.2686064605919604
2014-01-13 12:00:00,0.6033142700494071,0.32245544327157855,0.3955339593988914,0.29545670577678096,0.48718266063868254,0.23350631175882858,0.061381821426936836
2014-01-14 12:00:00,0.02948079754177018,0.11260220768146924,0.36739500304376776,0.3627388583292151,0.07340812493423246,0.4329653136978764,0.02780779073883391
2014-01-15 12:00:00,0.48587722332285943,0.07321795542061534,0.017939168015642236,0.03926043385864121,0.261406825634353,0.1808249819561304,0.025403357343313105
2014-01-16 12:00:00,0.34500033885624615,0.03350335270986128,0.3322688125425882,0.36729336471465923,0.3149864134484619,0.36034061888984414,0.020219285825803752
2014-01-17 12:00:00,0.06242898471627362,0.2939035219946817,0.2879767060594279,0.29644134057172833,0.3051799297487782,0.6473138007559516,0.028730371719038104
2014-01-18 12:00:00,0.49861482447948335,0.3505058157229932,0.323859077614253,0.3957759703395284,0.19044243621129534,0.3786441512638776,0.0869409625275695
2014-01-19 12:00:00,0.3158812982101664,0.03681202344829137,0.17682931141461927,0.3172256503585009,0.22403512540931353,0.5582976899424299,0.03364121783302565
2014-01-20 12:00:00,0.12930353817745383,0.010821853739560672,0.27999334186107266,0.33134514751667016,0.5308667729771366,0.643037819111002,0.12548646167373825
2014-01-21 12:00:00,0.5015250135668865,0.03887703726621378,0.2537441824545267,0.10423860839932764,0.44748018689529884,0.6175470834177517,0.06070832865044833
2014-01-22 12:00:00,0.29301278451732093,0.11569700282124433,0.2048838814637594,0.15958854770395123,0.4795582920136196,0.6207867470545734,0.06010489089179318
2014-01-23 12:00:00,0.28576201049352207,0.3359401826630095,0.10841694159384108,0.34739046205223306,0.5775449919789895,0.6553118447171911,0.06002604223776011
2014-01-24 12:00:00,0.20424978706208569,0.3595158368176714,0.08365849552904149,0.048057557191262056,0.5689007306393774,0.0735946170704772,0.07344144117429652
2014-01-25 12:00:00,0.6261689776229714,0.558342011465389,0.27880622789335785,0.05336452684279732,0.5434271768185288,0.3390678640523763,0.03670409135354503
2014-01-26 12:00:00,0.46454163907530155,0.5405321740818815,0.01747802474461712,0.0750647829071488,0.5056059650649587,0.3153817462610411,0.196436093062753
2014-01-27 12:00:00,0.10828496885262599,0.08047373259395968,0.3425450206750601,0.17571540278690345,0.5829627607025604,0.245896909679239,0.051424179526280984
2014-01-28 12:00:00,0.6174404908470889,0.3204259828917545,0.2681270352332522,0.1401591121932011,0.21109853954282407,0.1597054815157378,0.03835476350234608
2014-01-29 12:00:00,0.47215335116037865,0.17009460848557625,0.03834372469101486,0.07201821676478434,0.5833754031703102,0.6723200048159894,0.05986996480557992
2014-01-30 12:00:00,0.040630402776933375,0.44374096183929157,0.08257109486875185,0.3331195131054699,0.5475162571109028,0.5073808465696227,0.049954317401388934
2014-01-31 12:00:00,0.07206185913156654,0.07576219595302075,0.07456975564062433,0.2723965959865616,0.3483018593987082,0.4006342748214655,0.051767478938703995
2014-02-01 12:00:00,0.4237291373571572,0.3946703064713562,0.5179076628629724,0.16262622231400517,0.5640415915220022,0.23101754272805142,0.0465471322872711
2014-02-02 12:00:00,0.03367492611285143,0.12459734853451261,0.4953497585253303,0.5617477403687684,0.7073587102449387,0.11013614499701094,0.0787085783096086
2014-02-03 12:00:00,0.3269914316789178,0.14249777165693325,0.3625475761450868,0.6024175575764642,0.18153033579916739,0.15725169448097023,0.09407360667987714
2014-02-04 12:00:00,0.15893159114435576,0.5449744163166943,0.4224974206841221,0.20144629953488064,0.1919466939738975,0.3711040484436473,0.03522696151272541
2014-02-05 12:00:00,0.2267099521067847,0.5404836755092742,0.2640322265250307,0.28322896224660193,0.444087631209821,0.31241170769882315,0.05241649963177296
